product_id,title,description,category,color,image_path
B07P6JV16D,"Amazon Brand – Rivet Emerly Modern Sofa, 83.5""W, Steel Grey","Hardwood frame with sturdy mortise-and-tenon joints, performance fabric, metal legs Overall: 83.5""W x 35""D x 34""H; seat height: 19.5""H; seat depth: 28""D; seat back height: 27.5""H; arm height: 27.5""H; leg height: 6""H Wood, 100% polyester fabric, foam, metal Loose and reversible cushions This modern sofa in gray offers durability with removable and reversible cushions that are easy to maintain. Assemble in 15 minutes or less Spot clean stains and rinse with water. Free returns for 30 days. 1-year warranty.",sofa,Steel,data/raw/images/812+VPBi1lL.jpg
B07HPQ7HB5,"Amazon Brand - Alkove Elvas Hand-Crafted Leather Sofa, 2 Seater Maxi, 102 x 193 x 93cm, Taupe","With a clean, modern design and hand-sewn stitching, this sofa makes the perfect centrepiece to your lounge . For additional comfort, it features wide arms and a headrest that adjusts between six positions, allowing you to sit back and relax in style Size: 102 x 193 x 93cm (L x W x H) Features a solid frame made from certified timber and steel bars Seats generously cushioned with high-density polyurethane foam Hand-crafted in Italy by skilled artisans with high-quality, thick cowhide leather 2-year Product Warranty",sofa,Ecru,data/raw/images/71Sx3NvHueL.jpg
B071PDYKYB,"Amazon Brand – Stone & Beam Lummi Modern Armless Living Room Accent Chair, 21.6"" W, Shell","Let your unique style shine through with this modern accent slipper chair. The soft brushed fabric blends well in your master suite or living room. 29.9""D x 21.6""W x 32.7""H Beech wood frame covered in polyester fabric Modern Simple, streamlined design will complement your existing style Minimal assembly; just attach legs Free returns for 30 days. 3 year warranty.",chair,Shell,data/raw/images/91czg5Nkc5L.jpg
B07QC85X9C,"Amazon Brand – Ravenna Home Springdale Modern Bookcase with Decorative Open Sides, 30""W, White","30''W x 13.46''D x 72''H Solid pine and MDF This ample bookcase provides room for your favorite books as well as souvenirs and art objects. This modern white bookcase combines function with stylish decorative elements. It fits perfectly with any interior design motif. Assemble in 15-30 minutes Wipe clean with a soft, dry cloth. Free returns for 30 days. 1-year warranty.",desk,White,data/raw/images/71o4-1o39HL.jpg
B07CB54MM3,"Amazon Brand – Stone & Beam Bradbury Chesterfield Tufted Sofa Couch, 92.9""W, Warm Grey","An updated twist on a classic Chesterfield, this handsome tufted sofa is as comfortable as it is eye-catching. Its sturdy design and high performance upholstery will bring enduring style and durability to your home. Dimensions: 92.9''W x 39”D x 30.3”H Solid and engineered hardwoods; polyester/nylon fabric Timeless and functional Refreshed design of a classic; extra wide seating capacity Easy-to-attach legs Free returns for 30 days. 3-year warranty.",sofa,Warm Grey,data/raw/images/81+NZPMuEeL.jpg
B07B4W5V3C,"Amazon Brand – Stone & Beam Tisbury Nailhead Trim Queen Bed, 66""W, Curious Pearl","This bed adds classic style to any space. A hand-applied pewter nailhead trim accents the scalloped silhouette for added design detail. The sturdy frame is covered in a thick polyester padding for extra comfort. This item is made to order just for you 66""W x 92""D x 56""H; Legs: 5.5""H; Footboard: 18""H Polyster/linen blend fabric, polyurethane foam, plywood frame The bed is fully upholstered on the front and back of the headboard and footboard. Cross-slat support system with adjustable levelers included. Assemble in 30 minutes-1 hour. Vacuum, brush lightly or spot-clean only. Free returns for 30 days. 3-year warranty.",bed,Curious Pearl,data/raw/images/91qktrcsWgL.jpg
B00GBUJF3G,Strathwood All-Weather Wicker Deep Seating Outdoor Recliner,"Outdoor recliner functions as chair and chaise depending on position Hand-woven all-weather resin wicker construction in a dark brown hue Arm rests for added comfort; some assembly required Includes cushions with neutral-colored, weather-resistant, fade-resistant fabric Measures 36.22 inches long by 26.38 inches wide by 35.58 inches high",chair,,data/raw/images/81Hnb-ty7sL.jpg
B07RHBHNC7,Amazon Brand - Solimo Mars Engineered Wood Bedside Table with drawer (Wenge Finish),"Product Dimensions: 36cm (W) x 43cm (L) x 46cm (H) Premium-quality engineered wood bedside table which has undergone more than 15 safety and quality tests Material: European Standard Particle Board Smooth edges for beautiful aesthetics and protection against scrapes and cuts Tested for resistance against humidity, stains and hot water Free from harmful carcinogens like lead, formaldehyde and pentachlorophenol (PCP) Comes with a 3-year warranty on manufacturing defects",table,Brown,data/raw/images/81ucGjQVj-L.jpg
B082Q9C9YJ,"Amazon Brand – Stone & Beam Troy Upholstered Sofa Couch, 80""W, Ash Gray","This gray upholstered sofa couch brings a stylish charm to any living or family room. Durable fabric-covered foam seat cushions provide lasting comfort, and the modern design complements any decor. There is plenty of room for friends and family or to stretch out and watch a movie. This item is made to order just for you. Overall: 80""W x 36""D x 34""H; seat height: 22""H; seat depth: 20""D; seat back height: 12""H; arm height: 24""H; leg height: 5.625""H Sturdy wood frame and legs; life-friendly performance fabric; foam seat cushions Removable and reversible seat and back cushions ensure durability and comfort. Vacuum or wipe with a dry cloth. Spot clean if needed. Free returns for 30 days. 3-year warranty.",sofa,Ash Gray,data/raw/images/81x8HCKePmL.jpg
B07TZ9BMJG,Iris Shelf Unit,"Slim design fits into small spaces, the shelf is adjustable to maximize storage. Fits easily on CDs, DVDs, toiletries and other small items. Easy to install, parts included (screwdriver required) Complies with FSC regulations.",shelf,bruin,data/raw/images/516Q9GBrtvL.jpg
B07HSKY87X,"Amazon Brand – Rivet Modern End Table, 19.3 Inch Width, Natural and Gold","This unique modern-style end table will be the highlight of your room. Its MDF top has natural-wood grain, and the rich brown finish is complemented by the metal leg’s gold tone. With its unique egg-shaped top and single leg, this end table will infuse your home décor with a sense of modern chic. 19.3""W x 26""D x 21.5""H Brown wood veneer on MDF; metal frame Modern style complements most contemporary home décor Metal crosspiece keeps this end table steady. No assembly required Free returns for 30 days. 1-year warranty.",table,,data/raw/images/71cdMQWJEvL.jpg
B07SJ75Y1M,"Amazon Brand - Alkove Hayes Classic Fixed Solid Wood Dining Table, Seats 4-6, 130 x 90 x 75cm, Wild Oak","Dimensions: 130 x 90 x 75 cm (L x W x H). Weight: 42 kg Solid wild oak with durable oiled finish, and 2.5 cm-thick tabletop Classic, fixed table for any interior 30 minutes self-assembly; 2 people required; two spanners needed (13 and 6) Made in Europe and FSC-certified to guarantee environmental and social responsibility This item is shipped in 1 box : 144 x 95 x 13 cm (L x W x H), 44 kg Free returns for 30 days as per Amazon return policy. 2-year warranty",table,Wild Oak,data/raw/images/616xYvB4nFL.jpg
B075NP5K3L,"Amazon Brand Movian Blankan 3 Seater Sofa, 228 x 87 x 78 cm, Light Grey","Dimensions: 228 x 87 x 78 cm. Scandinavian style design for a modern, sleek and understated look. Padding made from high-quality polyester for dirt-repelling qualities, durable and comfortable. Soft back padding for extra comfort and solid wooden frame. Assembly: Legs need to be fitted. - -",sofa,lichtgrijs,data/raw/images/51wViyaw-BL.jpg
B082JH6LSF,"Amazon Brand – Stone & Beam Mid-Century 2-Drawer File Cabinet, 21.7""W, Pine Finish","Add a touch of mid-century design inspiration to your home office or workspace with this 2-drawer file cabinet. A deeper bottom drawer and elegantly shaped legs make this piece as stylish as it is useful. 21.7""W x 15.4""D x 23.4""H Durable MDF wood with natural-finished pine veneer and antique bronze handles The 2 generously sized sliding drawers offer stylish storage of files, supplies, and more. Anything but dull and utilitarian, this beautifully proportioned filing cabinet would work equally well as a stylish side table. Assemble in 15-30 minutes Using a soft, damp cloth, wipe in the direction of the wood grain. Free returns for 30 days; 3-year warranty.",cabinet,Brown,data/raw/images/71S7YSK7N+L.jpg
B001BQ1Q9G,"Pinzon Kinzie Leather Dining Chair, Cream",Set of 2 dining chairs is both handsome and versatile; offered in a choice of colors for any dcor Solid oak and ash veneer frame; fully covered in reconstituted leather Coordinates with most any collection and home dcor; holds up to 225 pounds Seat area is 18 inches wide by 17-1/2 inches deep; back is 20-1/4 inches high Measures 18 inches wide by 24-1/2 inches deep by 37-3/4 inches high,chair,Cream,data/raw/images/61JeKISYELS.jpg
B0728NWFGY,"Amazon Brand – Rivet Madison Modern Round Lift-Top Storage Tray Ottoman Pouf, 19.7""W, Caviar","It's a footstool, a storage space, an end table, an extra seat for company. Turn over the lid and voila -- it's an extra tray for snacks! An ottoman couldn't be more clever and multi-tasking than this. 19.7""W x 19.7""D x 16.5""H Wood frame Modern, round design Perfect for any room where a storage space or footstool is needed. Simple assembly; just attach four legs Free returns for 30 days. 1-year warranty.",ottoman,Caviar,data/raw/images/B13nlR1frXS.jpg
B07MM5H3HX,"Ravenna Home Classic Plank-Top Console Table with Large Drawer, 42""W, Black Wood","42"" W X 15"" D X 30"" H Solid wood Classic planked top adds to the traditional design. 1 large drawer Assemble in 15-30 minutes Wipe clean with soft, dry cloth.",table,,data/raw/images/715LMwwxF7L.jpg
B07HYY8ZGY,"Amazon Brand – Stone & Beam Westcott Contemporary 93"" Sofa, Fabric, 93""W, Haze","This sofa’s base and armrests blend seamlessly to create a continuous, cohesive look. The stain-resistant fabric allows for clean comfort, and the removable and reversible back and seat cushions add lasting style. Sturdy wood frame with stain-resistant fabric Removable and reversible back and seat cushions add lasting style. Simple assembly in less than 15 minutes Free returns for 30 days. 3-year warranty. This item is made to order just for you. Overall: 93""W x 36""D x 30""H; Seat Height: 20""H; Seat Depth: 24""D; Seat Back Height: 30""H; Arm Height: 30""H; Leg Height: 5.25""H",sofa,Haze,data/raw/images/910vvDJfNcL.jpg
B084T9X9NN,"Amazon Brand – Ravenna Home Modern Farmhouse Coffee Table, 40""W, Antique Gray Pine","40""W x 22""D x 18""H Classic farmhouse style with contemporary lines and industrial accents complements a variety of decor styles. Rustic solid pine with black metal accents. Simple assembly in 15-30 minutes. Free returns for 30 days. 1-year warranty.",table,Antique Gray,data/raw/images/71btre9TsiL.jpg
B07K35ZXB6,"Yellow Swatch, Stone & Beam",Country of Origin: China No assembly required Color: Yellow,chair,Yellow,data/raw/images/61Yug8fG7UL.jpg
B002KMI990,Strathwood Garden Furniture - Padre All-Weather Wicker  / Poly Rattan 48-Inch / 122 cm Round Dining Table,"This attractive espresso-coloured outdoor wicker dining table provides the perfect location for fun and easy entertaining no matter the weather. The frame is made of durable yet lightweight aluminium wrapped in weather-defying resin wicker fibre to withstand fading, weathering, and ageing. Wicker woven in a handsome, geometric diamond design; contoured table supports mean that there is plenty of leg room all around. Coordinating dining armchairs available separately in sets of 2. Diameter of 48 inches (122 cm), a height of 30 inches (76 cm) and weighs 15.77 pounds (7.1 kg).",table,,data/raw/images/91ibnoXe1BL.jpg
B07QFRSLZB,"Amazon Brand – Rivet Contemporary Channel-Back Dining Chair, 35""H, Ivory, Set of 2","This channel-back chair is a modern addition to any dining space. Its ivory upholstery will complement any number of color schemes, and its simple, understated design allows it to work in nearly any space. A solid wood frame and easy-care fabric give this chair plenty of durability. 19""W x 24""D x 35""H; seat height: 19""H; seat depth: 17""D; seat back height: 16""H Set of 2 85% polyester, 15% acrylic fabric on a solid hardwood frame Simple design with channel back No assembly required Avoid moisture. Wipe with a soft, dry cloth. Free returns for 30 days. 1-year warranty.",chair,Ivory,data/raw/images/81t7ILRrXDL.jpg
B075YZ16V7,"Amazon Brand – Rivet Mid-Century Stark 6-Drawer Dresser, 61""W, Warm Espresso","This warm espresso-finished dresser sits on a metal base for a bit of industrial style. The simple metal handles add just the right touch to the minimalist profile. Durable solid pine is built to last and sustainably sourced. 61""W x 18""D x 32""H FSC-certified solid pine. Drawers feature wood runners and safety stops. Mid-century modern design will blend with a modern bedroom. Six large drawers offer lots of storage for clothes. Assemble in 15-30 minutes. Wipe with soft dry cloth. Free returns for 30 days. 1-year warranty.",dresser,Brown,data/raw/images/911EiPQpzgL.jpg
B000S1DKLW,"Strathwood Grosse Pointe Leather Loveseat, Mahogany","Traditionally styled loveseat in mahogany brown with curved arms and rivet accents Made from long-lasting 100 percent top grain leather with distinctive textural shading Durable kiln-dried solid hardwood frame; 8-way, hand-tied coil construction Measures 37 by 68 by 35 inches (HxWxD) Dust with a soft cloth; made in the USA",sofa,Mahogony,data/raw/images/415HbBHa0eL.jpg
B07QJXW4VD,"Amazon Brand – Rivet Damien Mid-Century Modern Channel-Backed Sofa, 87""W, Leather, Cognac","A channeled back brings elegance to this mid-century 100% top grain leather sofa with tapered wood legs. The solid hardwood frame combines with the stain resistance of the upholstery, decreasing the wear and tear that comes with daily life and helping to keep this sofa looking like new. 87""W x 38""D x 32""H Solid hardwood frame, top grain leather, bench seat cushion with high-density foam, tapered wood legs, brass metal cap Removable and reversible seat cushion A solid hardwood frame with high-density foam adds durability to this channel-backed mid-century sofa. Assemble in 15 minutes or less Avoid moisture. Wipe with a soft, dry cloth. Free returns for 30 days. 1-year warranty.",ottoman,Cognac,data/raw/images/71KlKJdLfUL.jpg
B07QTD9VPM,"Amazon Brand - Movian Arendsee Set of 2 Dining Chairs, 55 x 48.5 x 85 cm, Light grey","Dimensions: 55 x 48,5 x 85 cm (L x W x H) Material: Light grey fabric, rubber wood oak stained oil treated legs Contemporary dining chair with an ergonomic shape; supports the curvature of your back for better posture; plastic foot caps to prevent scratched floors Rubberwood legs give a natural look and sturdy feel; smooth surfaces and lines for easy cleaning; seat height of 49 cm Assembly instructions included; 2-year warranty",chair,Light Grey,data/raw/images/81EXO8kXnhL.jpg
B07BWK7JWZ,"Amazon Brand – Rivet Edgewest Modern Right-Facing L-Shape Sectional, Leather, 116""W, Saddle","Features such as track arms, box-edge framing, and metal legs make this collection look sharp in modern or industrial settings. Back and seat cushions are reversible, and the pieces can be configured in many ways to accommodate family and friends. Overall: 116""W x 33""D x 31""H; Seat Height: 19""H; Seat Depth: 23""D; Seat Back Height: 25""H; Arm Height: 25""H; Leg Height: 5.25""H Sturdy wood frame with rich top grain leather upholstery Back and seat cushions are reversible; choose the configuration thats right for you Assemble in 15 minutes or less Free returns for 30 days. 1-year warranty This item is made to order just for you.",sofa,Saddle,data/raw/images/81fH8Fo1T1L.jpg
B07JY3NNPK,"Amazon Brand – Stone & Beam Pinebrook Traditional Recliner, Fabric, 39""W, Stone","Kick back and relax in this simple and stylish recliner. The sturdy wood frame and stain-resistant fabric upholstery make this a durable addition to your living room, and the push-back reclining mechanism makes relaxation easy. Sturdy wood frame with stain-resistant fabric Push-back reclining mechanism No assembly required Free returns for 30 days. 3-year warranty. This item is made to order just for you. Overall: 39""W x 36""D x 41""H; Seat Height: 21""H; Seat Depth: 23""D; Seat Back Height: 41""H; Arm Height: 22""H; Leg Height: 4.5""H",chair,Stone,data/raw/images/910WIIzuQJL.jpg
B082BL4G1J,"Amazon Brand – Rivet Bertha Mid-Century Velvet-Upholstered Swivel Office Chair, 25.25""W, Olive Green with Gold Finish","This olive-green velvet chair has an unusual, squared-off silhouette that will add a stylish mid-century flair to any workplace or home office. Its adjustable height, casters, and smooth swivel mechanism make it as flexible as it is attractive. 25.25""W x 25""D x 32.75""–35.75""H; seat height: 19.75""–22.75"" Generously padded cushions are upholstered in a soft olive-green velvet that adds a touch of luxury to a workday necessity. This chair has a 360-degree swivel mechanism with height and tension adjustments to accommodate your work style. Mid-century modern design meets all-day comfort in this stylish office chair. Assemble in 15-30 minutes Always use on firm, level ground. Do not stand on the seat or let children play with this chair. Check (and if necessary, tighten) all screws every 90 days. Free returns for 30 days. 1-year warranty.",chair,Olive Green,data/raw/images/71VHQwEYbIL.jpg
B07K6S2G6J,"Amazon Brand - Movian Mjøsa - Compact Desk with 1 Drawer, 79 x 44 x 76 cm, High-Gloss White","Large drawer with ball bearing guides and safety stopper ensure comfortable use. Sturdy, 40 mm-thick panels made from wood material, veneered. German development and construction. Elegantly rounded corners and space-saving design - - Dimensions: 79 x 44 x 76 cm (W x D x H). Knee space: W 70cm x H 61cm. Load capacity: 40 kg.",desk,Hoogglans wit,data/raw/images/610yeWPoveL.jpg
B0853JGLT7,"Amazon Brand – Rivet Curved Upholstered Headboard, Queen, 60""W, Gray","The softly curved silhouette of this simple yet striking headboard invites thoughts of cozy nights and restful hours of deep sleep. The gray upholstery and adjustable height mean the headboard easily fits in with your existing furnishings. 60""W x 3.5""D x 47.5""–55.5""H The well-constructed wood frame is padded with polyurethane foam for added comfort. The legs of this headboard adjust to 3 different heights, allowing it to attach to any standard bed frame. The simple yet striking panel design of this headboard will provide a soft accent to your bedroom suite. Assemble in 15 minutes or less Avoid moisture. Wipe clean with a soft, dry cloth. Free returns for 30 days. 1-year warranty.",headboard,Gray,data/raw/images/71wTQ38KIyL.jpg
B07QD6V1VT,"Amazon Brand – Rivet Classic Desk, 39.4""W, Dark Espresso",The clean lines and dark brown finish of this pine desk bring a classic distinction to your home office or living space. Generous desktop provides plenty of room for writing or using a laptop. 39.4''W x 21.6''D x 30''H Solid pine and MDF This pine desk combines style and function to provide ample space for your home office needs. The dark brown finish on this classic desk brings a distinctive flair to any home office or living space. Assemble in 15 minutes or less Wipe with a damp cloth in the direction of the grain. Free returns for 30 days. 1-year warranty.,desk,Dark Espresso,data/raw/images/71arjf0rbxL.jpg
B075Z8769G,"Amazon Brand – Rivet Mid-Century Swope Curved Arm Swivel Office Chair, 26""W, Felt Grey","26""W x 24.8""D x 33.9""H Fabric is durable 100% polyester. Metal swivel base and legs. A swivel chair ideal for a desk but attractive enough for any room No assembly required. Vacuum or wipe with a soft dry cloth. Free returns for 30 days. 1-year warranty. While designed for the office, this swivel chair adds refreshing style to any room. The Mid-century inspired silhouette features graceful curves and low-profile arms Four metal legs extend outward from the swivel base.",chair,Grey,data/raw/images/918OhgZ71BL.jpg
B07MF1SRH5,"Amazon Brand – Ravenna Home Damask-Pattern Ceramic Garden Stool or Side Table, 16""H, Off-White","13""W x 13""D x 16""H 100% stoneware A fresh accent for a garden, patio, deck, sunroom, greenhouse, or any room in the home, this side table is made of stoneware for better chip resistance and durability. Crafted of fine ceramic, this off-white end table features a damask pattern and is suitable to use as a decorative item both indoors and out. No assembly required Wipe with soft, damp cloth.",table,Off White,data/raw/images/71dC4k21CnL.jpg
B07B4ZFD1C,"Amazon Brand – Stone & Beam Prudence Tufted King Bed, 84""W, Curious Charcoal","This bed adds classic style to any space. A hand-tufted headboard adds an interesting design detail. The sturdy frame is covered in a thick polyester padding for extra comfort. This item is made to order just for you 84""W x 92""D x 56""H; Legs: 5.5""H; Footboard: 18""H Polyster/linen blend fabric, polyurethane foam, plywood frame The bed is fully upholstered on the front and back of the headboard and footboard. Cross-slat support system with adjustable levelers included. Assemble in 30 minutes-1 hour. Vacuum, brush lightly or spot-clean only. Free returns for 30 days. 3-year warranty.",bed,Curious Charcoal,data/raw/images/91SZBS938jL.jpg
B07MBFDHRY,"Amazon Brand – Ravenna Home Clover-Pattern Ceramic Garden Stool or Side Table, 16""H, Grey","13.5""W x 13.5""D x 16""H 100% stoneware A fresh accent for a garden, patio, deck, sunroom, greenhouse, or any room in the home, this side table is made of stoneware for better chip resistance and durability. Crafted of fine ceramic, this gray end table features a clover-like pattern and is suitable to use as a decorative item both indoors and out. No assembly required Wipe with soft, damp cloth.",table,Grey,data/raw/images/81PPnRUQvwL.jpg
B07B4MF6YH,"Amazon Brand – Stone & Beam Andover Modern Rectangle Ottoman, 32""W, Tan","Wooden legs, clean lines, and box-edge cushions bring stylish sophistication to modern or transitional rooms. With a sturdy frame and springy cushioning, this ottoman is ready to withstand years as a footrest or extra seating for guests. 32""W x 25""D x 21""H; Seat Height: 21""H ; Seat Depth: 25""D; Seat Back Height: 21""H; Leg Height: 4.25""H Stain-resistant polyester fabric on hardwood pine frame The streamlined shape is a hallmark of modern design Carefully crafted to ensure durability and years of use Easy assembly in less than 15 minutes; just screw in legs Free returns for 30 days. 3-year warranty.",ottoman,Tan,data/raw/images/914TrKIu0lL.jpg
B07P5LN16X,"Amazon Brand – Rivet Sloane Modern Leather Loveseat with Tufted Back, 64.2""W, Caramel","This modern loveseat sports a tufted back, a strong profile, and tapered wooden legs, giving it a minimalist yet retro feel that makes it instantly appealing. The leather upholstery and solid-wood frame make this piece both cozy and reliable. 64.2""W x 35.8""D x 33.1""H Solid wood frame and legs; leather upholstery A solid wood frame and leather upholstery make this loveseat as practical as it is stylish. A tufted back adds elegance to this minimalist design. Assemble in 15 minutes or less Wipe clean with a soft, dry cloth. Free returns for 30 days. 1-year warranty.",sofa,Caramel,data/raw/images/71SiSSChdOL.jpg
B07B4M364Y,"Amazon Brand – Stone & Beam Appleton Farmhouse Recliner, 35""W, Khaki","This is definitely not your dad's old overstuffed recliner. This chair features graceful style, neutral colors and durable fabric. With its rolled arms and tufted back, it has the right touches of modern and classic to blend with most decor. 35""W x 40""D x 41""H; Seat Height: 20""H ; Seat Depth: 21""D; Seat Back Height: 41""H; Arm Height: 24""H; Front legs: 5.625""H; Back legs: 4.75""H Durable cotton fabric, sturdy pine wood frame Modern and classic come together for a transitional style Push back reclining mechanism; removable and reversible seat cushion No assembly required Free returns for 30 days. 3-year warranty.",chair,Khaki,data/raw/images/91DL2D1gd1L.jpg
